objectid,filename,eventimage,youtubeid,title,creator,date,description,subject,callnumber,isbn,publicationdate,resourcelink,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,coll001.jpg,,,Flight Behavior,Barbara Kingsolver,11/6/2012,"Set in the present day in the rural community of Feathertown, Tennessee, this novel tells the story of Dellarobia Turnbow, a petite, razor-sharp 29-year-old who nurtured worldly ambitions before becoming pregnant and marrying at seventeen. Now, after more than a decade of tending to small children on a failing farm, oppressed by poverty, isolation and her husband's antagonistic family, she has mitigated her boredom by surrendering to an obsessive flirtation with a handsome younger man. In the opening scene, Dellarobia is headed for a secluded mountain cabin to meet this man and initiate what she expects will be a self-destructive affair. But the tryst never happens. Instead, she walks into something on the mountainside she cannot explain or understand: a forested valley filled with a lake of silent red fire that appears to her a miracle. In reality, the forest is ablaze with millions of butterflies. Their usual migratory route has been disrupted, and what looks to be a stunningly beautiful view is really an ominous sign, for the Appalachian winter could prove to be the demise of the species. Her discovery of this phenomenon ignites a media and religious firestorm that changes her life forever. After years lived entirely in the confines of one small house, Dellarobia finds her path suddenly opening out, chapter by chapter, into blunt and confrontational engagement with her family, her church, her town, her continent, and finally the world at large.",great biodiversity reads; fiction,PS3561.I496 F55 2012,9780062124265,41071,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6358347,,,,,,text,book,eng,,
coll002,coll001.jpg,,,The Overstory,Richard Powers,4/3/2018,"A novel of activism and natural-world power presents interlocking fables about nine remarkable strangers who are summoned in different ways by trees for an ultimate, brutal stand to save the continent's few remaining acres of virgin forest.",great biodiversity reads; fiction,,,,,,,,,,text,image,eng,,
coll003,,,,State of Wonder,Ann Patchett,5/8/2012,"A researcher at a pharmaceutical company, Marina Singh journeys into the heart of the Amazonian delta to check on a field team that has been silent for two years--a dangerous assignment that forces Marina to confront the ghosts of her past.",great biodiversity reads; fiction,,,,,,,,,,text,application/pdf,eng,,
event1,test,yes,,Test Event,Kyle,5/8/2012,This is events description,Science,,,,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6358347,,,,,,text,event,eng,,
event2,,,,Another Event 2,Kyle,11/6/2012,This is events description,Science,,,,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6358347,,,,,,text,event,eng,,
coll004,,,,Around the World in 80 Trees,Jonathan Drori; Lucille Clerc (Illustrator),5/29/2018,"Trees are one of humanity's most constant and most varied companions. From India's sacred banyan tree to the fragrant cedar of Lebanon, they offer us sanctuary and inspiration--not to mention the raw materials for everything from aspirin and silk to space shuttles and telephone lines. In Around the World in 80 Trees, Jonathan Drori uses plant science to illuminate how trees play a role in every part of human life, from the romantic to the regrettable. Stops on the trip include the lime trees of Berlin's Unter den Linden boulevard, which intoxicate amorous Germans and hungry bees alike, the swankiest streets in nineteenth-century London, which were paved with Australian eucalyptus wood, and the redwood forests of California, where the secret to the trees' soaring heights can be found in the properties of the tiniest drops of water. Each of these strange and true tales--populated by self-mummifying monks, tree-climbing goats and ever-so-slightly radioactive nuts--is illustrated by Lucille Clerc, taking the reader on a journey that is as informative as it is beautiful. --amazon.com.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll005,,,,Biodiversity,E. O. Wilson (Editor),1/1/1988,"This important book for scientists and nonscientists alike calls attention to a most urgent global problem: the rapidly accelerating loss of plant and animal species to increasing human population pressure and the demands of economic development. Based on a major conference sponsored by the National Academy of Sciences and the Smithsonian Institution, Biodiversity creates a systematic framework for analyzing the problem and searching for possible solutions.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll006,,,,Biodiversity and Climate Change,Thomas E. Lovejoy; Lee Hannah; Edward O. Wilson,1/8/2019,"1 online resource (xv, 387 pages, 8 unnumbered pages of plates) : illustrations (some color), maps (some color.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll007,,,,Biodiversity conservation in Canada: from theory to practice,Richard R. Schneider,2019,"This book is about the practice of biodiversity conservation in Canada. It is intended to serve the needs of conservation practitioners across the country as well as conservation students. The book provides a comprehensive overview of conservation, including its history, social aspects, applied science, and decision-making. Several case studies are also included.""--",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll008,,,,The Botany of Desire,Michael Pollan,5/28/2002,"Introduction: The Human Bumblebee
Ch. 1. Desire: Sweetness/Plant: The Apple
Ch. 2. Desire: Beauty/Plant: The Tulip
Ch. 3. Desire: Intoxication/Plant: Marijuana
Ch. 4. Desire: Control/Plant: The Potato.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll009,,,,Defending Biodiversity,Jonathan A. Newman; Gary Varner; Stefan Linquist,10/5/2017,"Imagine that you are an environmentalist who passionately believes that it is wrong to drill for oil in the Arctic National Wildlife Refuge. How do you convince someone that a decision to drill is wrong? Debates about the environment and how humans ought to treat it have gone on for decades, yet arguments in favor of preserving biodiversity often lack empirical substance or are philosophically na&#239;ve, making them far less effective than they could be. This book critically examines arguments that are commonly offered in support of biodiversity conservation. The authors adopt a skeptical viewpoint to thoroughly test the strength of each argument and, by demonstrating how scientific evidence can be integrated with philosophical reasoning, they help environmentalists to better engage with public debate and judiciously inform public policy. This interdisciplinary and accessible book is essential reading for anyone who engages in discussions about the value of biodiversity conservation--",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll010,,,,Deserts: a very short introduction,Nick Middleton,12/20/2009,Desert ecology.,great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll011,,,,The Fall of the Wild,Ben A. Minteer,12/11/2018,"Our vanishing (and reappearing) wildlife
A bird in the hand
The call of the quasi-wild
Elephants somewhere
Promethean dreams
Heaven and earth.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll012,,,,Fungi: a very short introduction,Nicholas P. Money,4/1/2016,"Fungi form an entire biological kingdom, and represent a great diversity of organisms. They are found in the soil, in the air, and on the surfaces of plants and animals. In this Very Short Introduction, Nicholas P. Money highlights the various effects of fungi on living organisms and considers their broader significance on our planet.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll013,,,,The Future of Life,Edward O. Wilson,1/8/2002,"Examines the richness of the natural world, how it is currently being threatened, and what can be done to safeguard it.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll014,,,,The Handbook of Bird Families,Jonathan Elphick,3/29/2019,"This ultimate handbook contains a comprehensive survey of the world's birds, reflecting the latest classification changes to the Howard & Moore Complete Checklist of the Birds of the World. It includes an introduction to each of the bird orders and a detailed account and concise fact panel for every one of the 234 families. It details the appearance, behaviour and lifestyle of the family members, while a glossary, further reading list and an index ensure easy reference.--",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll015,,,,Insect Biodiversity,Robert G. Foottit (Editor); Peter H. Adler (Editor),7/22/2017,"The second edition of Insect Biodiversity: Science and Society brings together in one comprehensive text contributions from leading scientific experts to assess the influence insects have on humankind and the earth’s fragile ecosystems. Revised and updated, this new edition includes information on the number of substantial changes to entomology and the study of biodiversity. It includes current research on insect groups, classification, regional diversity, and a wide range of concepts and developing methodologies. The authors examine why insect biodiversity matters and how the rapid evolution of insects is affecting us all.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll016,,,,Messages from Islands,Ilkka Hanski,12/14/2016,"Biodiversity: species and where they live
How is biodiversity generated?
Changing biodiversity
Species on the move
Habitat loss and fragmentation
Why is biodiversity important?
Epilogue.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll017,,,,Origins of biodiversity: an introduction to macroevolution and macroecology,Lindell Bromham,2019,,great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll018,,,,Parallel Botany,Leo Lionni,10/1/1977,"Leo Lionni here presents ... [an] imaginary plant kingdom .. Lionni marshals all the facts, all the fabulous lore and scholarship surrounding parallel plants ... And, too, he provides his own elegant, detailed, and scientifically accurate drawings of each nonexistent plant species",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll019,,,,Reclaiming the Commons,Vandana Shiva; Ronnie Cummins (Foreword by),7/14/2020,,great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll020,,,,The Secret Wisdom of Nature,Peter Wohlleben; Jane Billinghurst (Translator),3/5/2019,,great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
coll021,,,,The Sixth Extinction,Elizabeth Kolbert,1/6/2015,"Over the last half billion years, there have been five major mass extinctions, when the diversity of life on Earth suddenly and dramatically contracted. Scientists are currently monitoring the sixth extinction, predicted to be the most devastating since the asteroid impact that wiped out the dinosaurs. This time around the cataclysm is us. In this book the author tells us why and how human beings have altered life on the planet in a way no species has before. She provides a moving account of the disappearances of various species occurring all around us and traces the evolution of extinction as concept, from its first articulation by Georges Cuvier in revolutionary Paris up to Lyell and Darwin, and through the present day. The sixth extinction is likely to be mankind's most lasting legacy, compelling us to rethink the fundamental question of what it means to be human.",great biodiversity reads; non-fiction,,,,,,,,,,text,application/pdf,eng,,
